Race Number,Class,Boat Type,Distance,Round,ResultsPage,Place,Club,Country,Time,Time (s)
015,Elite Women,V6,1500,Heat 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/015,4,Germany,Germany,9:51.23,591.23
016,Elite Women,V6,1500,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/016,1,Aotearoa Nz,New Zealand,8:20.76,500.76
016,Elite Women,V6,1500,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/016,2,Hawaii - Outrigger,Hawai'i,8:23.01,503.01
016,Elite Women,V6,1500,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/016,3,Canada,Canada,9:00.25,540.25
016,Elite Women,V6,1500,Heat 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/016,4,OCTUPUS,Chile,9:44.47,584.47
017,Master 70 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,1,ROBB Linda,Hawai'i,3:22.11,202.11
017,Master 70 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,2,DOYLE Sally,Australia,3:26.54,206.54
017,Master 70 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,3,BIRKBECK Victoria,Brazil,3:31.40,211.4
017,Master 70 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,4,SCIASCIA Gaylene,New Zealand,3:32.05,212.05
017,Master 70 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,5,WOOLDRIDGE Katrina,New Zealand,3:35.38,215.38
017,Master 70 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,6,LAI Corky,USA,3:45.87,225.87
017,Master 70 Women,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/017,7,NEVES Maria Artony,Brazil,3:49.54,229.54
